2022-05-19 16:03:33.971  INFO [authorizationService,,] 20200 --- [http-nio-9090-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 16:03:33.976  INFO [authorizationService,,] 20200 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 16:03:34.008  INFO [authorizationService,,] 20200 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 31 ms
2022-05-19 16:03:34.173  INFO [authorizationService,dd38bf26e0ea5501,63d5fab210e13702] 20200 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-19 16:03:34.175  INFO [authorizationService,dd38bf26e0ea5501,63d5fab210e13702] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:03:34.461  INFO [authorizationService,dd38bf26e0ea5501,63d5fab210e13702] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:03:34.464  INFO [authorizationService,dd38bf26e0ea5501,63d5fab210e13702] 20200 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - generateToken
2022-05-19 16:41:42.744  INFO [authorizationService,643e75230782826d,8aff15868ac370ea] 20200 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:41:42.942  INFO [authorizationService,643e75230782826d,8aff15868ac370ea] 20200 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:41:43.045  INFO [authorizationService,643e75230782826d,8aff15868ac370ea] 20200 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:41:43.046  INFO [authorizationService,643e75230782826d,8aff15868ac370ea] 20200 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:41:43.048  INFO [authorizationService,643e75230782826d,8aff15868ac370ea] 20200 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:41:43.050  INFO [authorizationService,643e75230782826d,8aff15868ac370ea] 20200 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:41:44.117  INFO [authorizationService,643e75230782826d,60b4dceed87c49da] 20200 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:41:44.119  INFO [authorizationService,643e75230782826d,60b4dceed87c49da] 20200 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:41:44.122  INFO [authorizationService,643e75230782826d,60b4dceed87c49da] 20200 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:41:44.123  INFO [authorizationService,643e75230782826d,60b4dceed87c49da] 20200 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:41:44.126  INFO [authorizationService,643e75230782826d,60b4dceed87c49da] 20200 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:41:44.128  INFO [authorizationService,643e75230782826d,60b4dceed87c49da] 20200 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:43:57.361  INFO [authorizationService,5e8a8019ee6980bf,072169fbd49774a3] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:43:57.362  INFO [authorizationService,5e8a8019ee6980bf,072169fbd49774a3] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:43:57.373  INFO [authorizationService,5e8a8019ee6980bf,072169fbd49774a3] 20200 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:43:57.374  INFO [authorizationService,5e8a8019ee6980bf,072169fbd49774a3] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:43:57.375  INFO [authorizationService,5e8a8019ee6980bf,072169fbd49774a3] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:43:57.377  INFO [authorizationService,5e8a8019ee6980bf,072169fbd49774a3] 20200 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:43:58.579  INFO [authorizationService,5e8a8019ee6980bf,46387ff447db2473] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:43:58.581  INFO [authorizationService,5e8a8019ee6980bf,46387ff447db2473] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:43:58.583  INFO [authorizationService,5e8a8019ee6980bf,46387ff447db2473] 20200 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : STARTED - authorization
